"tree_id","Plate_Number","Well_Coordinates","Sample_Name_Plate","Species","person_key_GBS","Nodes_GBS","Plot_GBS","ID_sample_correct","Treatment","locality_key","plot","life_condition","X_coordinates_latitude","X_coordinates_longitude","X_coordinates_altitude","person_key","tree_number","photo_tree","tree_diameter_category","tree_heigth","tree_nodes","tree_health","ozone_damage_percentage","other_damages_percentage","other_damages_percentage.less_10","other_damages_percentage.10.40","other_damages_percentage.50","other_damages_percentage.50.70","other_damages_percentage.70.100","photo_health","bud","photo_bud","branch_nodes","nodes_with_leaves","photo_branch","cones","cone_sex","photo_cones","tree_exposition","surronding_vegetation.fir","surronding_vegetation.pine","surronding_vegetation.oak","surronding_vegetation.bush","surronding_vegetation.grass","surronding_vegetation.other","reforested","reforestation_code","tree_health_simplified","reforestation_year"
"AX13","P4","E6","AX13_N04TAF","Abies religiosa","chamber","4","chambers","AX13_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX14","P4","F8","AX14_N04TAF","Abies religiosa","chamber","4","chambers","AX14_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX15","P4","A7","AX15_N04TAF","Abies religiosa","chamber","4","chambers","AX15_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX16","P4","B11","AX16_N04TAF","Abies religiosa","chamber","4","chambers","AX16_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX17","P3","H12","AX17_N04TAF","Abies religiosa","chamber","4","chambers","AX17_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX19","P4","H1","AX19_N04TAF","Abies religiosa","chamber","4","chambers","AX19_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX21","P4","A6","AX21_N04TAF","Abies religiosa","chamber","4","chambers","AX21_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX22","P3","D11","AX22_N04TAF","Abies religiosa","chamber","4","chambers","AX22_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX25","P3","B9","AX25_N04TAF","Abies religiosa","chamber","4","chambers","AX25_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX26","P3","E8","AX26_N04TAF","Abies religiosa","chamber","4","chambers","AX26_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX27","P3","E4","AX27_N04TAF","Abies religiosa","chamber","4","chambers","AX27_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AX28","P4","H4","AX28_N04TAF","Abies religiosa","chamber","4","chambers","AX28_N04TAF","ambient_air_SRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B103","P2","C4","B103_N11P34","Abies religiosa","B","11","34","B103_N11P34","forest","PN",34,"alive","19.2953122","-99.3194378",3132.824707,"B",103,"1608482367291.jpg","2_cm",3.2,11,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608482450135.jpg","closed","1608482564717.jpg",7,3,"1608482691310.jpg","no",NA,NA,"exposed",0,0,0,1,1,1,"no",NA,"healthy",NA
"B103r","P1","A4","B103r_N11P34","Abies religiosa","B","11","34","B103r_N11P34","forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B105","P1","C6","B105_N5P34","Abies religiosa","B","5","34","B105_N05P34","forest","PN",34,"alive","19.295374","-99.319505",3128.680908,"B",105,"1608483273638.jpg","1_cm",0.5,5,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608483345278.jpg","closed","1608483378815.jpg",3,2,"1608483401114.jpg","no",NA,NA,"cover",1,0,0,1,1,1,"yes","NP","healthy","NP"
"B109","P3","A5","B109_N05P34","Abies religiosa","B","5","34","B109_N05P34","forest","PN",34,"alive","19.295404","-99.319428",3127.019531,"B",109,"1608484720505.jpg","1_cm",0.45,5,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608484762289.jpg","closed","1608484780634.jpg",4,2,"1608484820275.jpg","no",NA,NA,"cover",1,0,0,1,1,1,"no",NA,"healthy",NA
"B112","P2","B8","B112_N9P34","Abies religiosa","B","9","34","B112_N09P34","forest","PN",34,"alive","19.2953914","-99.3194159",3123.537842,"B",112,"1608486463853.jpg","6_cm",2.1,9,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608486728196.jpg","closed","1608486754111.jpg",7,4,"1608486817749.jpg","no",NA,NA,"exposed",1,0,0,1,1,1,"yes","NP","healthy","NP"
"B113","P3","A8","B113_N05P34","Abies religiosa","B","5","34","B113_N05P34","forest","PN",34,"alive","19.2954079","-99.319376",3124.056641,"B",113,"1608486956667.jpg","1_cm",0.45,5,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608487125513.jpg","closed","1608487145759.jpg",3,2,"1608487180607.jpg","no",NA,NA,"exposed",1,0,0,1,1,1,"no",NA,"healthy",NA
"B122","P2","A6","B122_N12P39","Abies religiosa","B","12","39","B122_N12P39","forest","PN",39,"alive","19.283567","-99.3167076",3229.625244,"B",122,"1608496984795.jpg","1_cm",0.5,8,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608497058451.jpg","not_visible","1608497076532.jpg",7,2,"1608497126050.jpg","no",NA,NA,"cover",1,1,0,0,1,1,"no",NA,"healthy",NA
"B84","P4","H11","B84_NNAP24","Abies religiosa","B",NA,"24","B84_NNAP24","forest","CX",24,"alive","19.3019313","-99.2923996",3149.814941,"B",84,"1608310797037.jpg","40_cm",17,NA,"ozone drougth other","10 to 40%",NA,NA,NA,NA,NA,NA,"1608310861266.jpg","closed","1608310895536.jpg",10,3,"1608310948351.jpg","not_sure",NA,NA,"exposed",0,0,0,1,1,1,"no",NA,"ozone_and_other",NA
"B89","P2","A12","B89_NNAP25","Abies religiosa","B",NA,"25","B89_NNAP25","forest","CX",25,"alive","19.3068419","-99.2912672",3044.737061,"B",89,"1608317583771.jpg","40_cm",30,NA,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608318083713.jpg","closed","1608318118848.jpg",17,3,"1608318188254.jpg","yes","female","1608318254587.jpg","exposed",1,0,0,1,1,1,"no",NA,"healthy",NA
"B96","P2","F6","B96_N15P33","Abies religiosa","B","15","33","B96_N15P33","forest","CX",33,"alive","19.2989612","-99.2992479",3445.226074,"B",96,"1608405181797.jpg","30_cm",12,15,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608405298530.jpg","closed","1608405344858.jpg",13,3,"1608405471249.jpg","no",NA,NA,"exposed",1,0,0,1,1,1,"no",NA,"healthy",NA
"Blank","P4","A1","Blank_04","Abies religiosa","Blank","Blank","Blank","Blank_04","blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank","P1","H12","Blanco","Abies religiosa","Blank","Blank","Blank","Blank_01","blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank","P2","H12","Blanco","Abies religiosa","Blank","Blank","Blank","Blank_02","blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank","P3","A1","Blank_03","Abies religiosa","Blank","Blank","Blank","Blank_03","blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C101","P4","B8","C101_N08P37","Abies religiosa","C","8","37","C101_N08P37","forest","PN",37,"alive","19.2836036","-99.3161757",3190,"C",101,"1608495853295.jpg","2_cm",1.7,8,"ozone other","more than 70%",NA,NA,NA,NA,NA,NA,"1608495906791.jpg","closed","1608495927876.jpg",3,0,"1608495945797.jpg","no",NA,NA,"cover",1,0,0,1,1,1,"no",NA,"ozone_and_other",NA
"C122","P4","A9","C122_NNAP44","Abies religiosa","C",NA,"44","C122_NNAP44","forest","PN",44,"alive","19.2891165","-99.3172017",3147,"C",122,"1608579017362.jpg","40_cm",30,NA,"ozone drougth other","50 to 70%",NA,NA,NA,NA,NA,NA,"1608579321827.jpg","closed","1608579601920.jpg",4,3,"1608579765470.jpg","not_sure",NA,NA,"cover",0,0,1,1,1,1,"no",NA,"ozone_and_other",NA
"C17","P1","D10","C17_N5P6","Abies religiosa","C","5","6","C17_N05P06","forest","CX",6,"alive","19.292589","-99.2988251",3481,"C",17,"1608064604797.jpg","2_cm",1.1,5,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608064772217.jpg","closed","1608064826605.jpg",3,3,"1608064988416.jpg","no",NA,NA,"cover",1,1,0,0,1,0,"no",NA,"healthy",NA
"C3","P2","F2","C3_N9P2","Abies religiosa","C","9","2","C3_N09P02","forest","CX",2,"alive","19.2906363","-99.2990406",3473,"C",3,"1608054070858.jpg","6_cm",2,9,"ozone","40 to 50%",NA,NA,NA,NA,NA,NA,"1608054331708.jpg","closed","1608054449441.jpg",4,4,"1608054526280.jpg","no",NA,NA,"exposed",0,1,0,0,1,0,"yes","NP","ozone","NP"
"C36","P4","G2","C36_N06P12","Abies religiosa","C","6","12","C36_N06P12","forest","CX",12,"alive","19.291341","-99.3062656",3479,"C",36,"1608147021997.jpg","0.5_cm",0.53,6,"ozone drougth","less than 10%",NA,NA,NA,NA,NA,NA,"1608147128044.jpg","closed","1608147162022.jpg",3,3,"1608147188715.jpg","no",NA,NA,"cover",1,0,0,0,1,1,"no",NA,"ozone_and_other",NA
"C5","P1","A8","C5_N9P2","Abies religiosa","C","9","2","C5_N09P02","forest","CX",2,"alive","19.2907215","-99.2990592",3471,"C",5,"1608055627940.jpg","6_cm",3.3,9,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608056005781.jpg","closed","1608056051058.jpg",3,3,"1608056092660.jpg","no",NA,NA,"exposed",0,0,0,0,1,0,"yes","NP","healthy","NP"
"C64","P3","B5","C64_N09P29","Abies religiosa","C","9","29","C64_N09P29","forest","CX",29,"alive","19.302132","-99.2983218",3357,"C",64,"1608398025909.jpg","1_cm",1.5,9,"ozone drougth other","50 to 70%",NA,NA,NA,NA,NA,NA,"1608398121951.jpg","closed","1608398161208.jpg",4,3,"1608398199981.jpg","no",NA,NA,"cover",1,0,0,0,1,1,"no",NA,"ozone_and_other",NA
"CA03","P3","B6","CA03_N04TAF","Abies religiosa","chamber","4","chambers","CA03_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA04","P3","B1","CA04_N04TAF","Abies religiosa","chamber","4","chambers","CA04_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA06","P3","C2","CA06_N04TAF","Abies religiosa","chamber","4","chambers","CA06_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA07","P3","C6","CA07_N04TAF","Abies religiosa","chamber","4","chambers","CA07_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA09","P3","F6","CA09_N04TAF","Abies religiosa","chamber","4","chambers","CA09_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA10","P3","D10","CA10_N04TAF","Abies religiosa","chamber","4","chambers","CA10_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA10r","P4","B6","CA10r_N04TAF","Abies religiosa","chamber","4","chambers","CA10r_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA11","P4","F9","CA11_N04TAF","Abies religiosa","chamber","4","chambers","CA11_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA14","P4","G12","CA14_N04TAF","Abies religiosa","chamber","4","chambers","CA14_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA16","P4","D8","CA16_N04TAF","Abies religiosa","chamber","4","chambers","CA16_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA17","P3","C11","CA17_N04TAF","Abies religiosa","chamber","4","chambers","CA17_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18","P3","G2","CA18_N04TAF","Abies religiosa","chamber","4","chambers","CA18_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19","P4","F4","CA19_N04TAF","Abies religiosa","chamber","4","chambers","CA19_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA21","P4","A11","CA21_N04TAF","Abies religiosa","chamber","4","chambers","CA21_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA22","P4","B4","CA22_N04TAF","Abies religiosa","chamber","4","chambers","CA22_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA25","P4","B10","CA25_N04TAF","Abies religiosa","chamber","4","chambers","CA25_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA27","P4","H12","CA27_N04TAF","Abies religiosa","chamber","4","chambers","CA27_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA28","P4","F11","CA28_N04TAF","Abies religiosa","chamber","4","chambers","CA28_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA29","P3","E7","CA29_N04TAF","Abies religiosa","chamber","4","chambers","CA29_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA30","P3","H4","CA30_N04TAF","Abies religiosa","chamber","4","chambers","CA30_N04TAF","contingency_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC01","P3","D4","CC01_N04TAF","Abies religiosa","chamber","4","chambers","CC01_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC02","P3","B8","CC02_N04TAF","Abies religiosa","chamber","4","chambers","CC02_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC03","P4","G6","CC03_N04TAF","Abies religiosa","chamber","4","chambers","CC03_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC07","P3","H2","CC07_N04TAF","Abies religiosa","chamber","4","chambers","CC07_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC09","P4","C9","CC09_N04TAF","Abies religiosa","chamber","4","chambers","CC09_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC10","P4","B7","CC10_N04TAF","Abies religiosa","chamber","4","chambers","CC10_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC11","P4","E3","CC11_N04TAF","Abies religiosa","chamber","4","chambers","CC11_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC13","P3","F4","CC13_N04TAF","Abies religiosa","chamber","4","chambers","CC13_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC15","P4","E4","CC15_N04TAF","Abies religiosa","chamber","4","chambers","CC15_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC16","P4","E10","CC16_N04TAF","Abies religiosa","chamber","4","chambers","CC16_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC17","P4","C12","CC17_N04TAF","Abies religiosa","chamber","4","chambers","CC17_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC20","P3","F12","CC20_N04TAF","Abies religiosa","chamber","4","chambers","CC20_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC21","P3","H8","CC21_N04TAF","Abies religiosa","chamber","4","chambers","CC21_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC23","P3","H5","CC23_N04TAF","Abies religiosa","chamber","4","chambers","CC23_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC24","P4","B1","CC24_N04TAF","Abies religiosa","chamber","4","chambers","CC24_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC26","P4","B2","CC26_N04TAF","Abies religiosa","chamber","4","chambers","CC26_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC26r","P4","B5","CC26r_N04TAF","Abies religiosa","chamber","4","chambers","CC26r_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC27","P4","A10","CC27_N04TAF","Abies religiosa","chamber","4","chambers","CC27_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC29","P3","E6","CC29_N04TAF","Abies religiosa","chamber","4","chambers","CC29_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC30","P4","E5","CC30_N04TAF","Abies religiosa","chamber","4","chambers","CC30_N04TAF","moderate_ozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","P1","G4","D1_N7P1","Abies religiosa","D","7","1","D1_N07P01","forest","CX",1,"alive","19.2901673","-99.2992237",3492.406982,"D",1,"1608049728604.jpg","10_cm",2.5,7,"ozone","10 to 40%",NA,NA,NA,NA,NA,NA,"1608049980040.jpg","closed","1608050005195.jpg",5,5,"1608050100368.jpg","no",NA,NA,"cover",0,1,0,0,1,0,"yes","2013","ozone","2013"
